,name,like,review,reply,min_del_price,menu_int,menu1,menu2,menu3,mean_price,info_int,runtime_wk(분),order,addr,rev_int,total_int,rate,event,location
22,배달의쌀국수 강남점,3536,435,441,8500,0,8500,9500,9500,9167,13,7980,4000,서울시 강남구 논현동 191,47,60,4.7,1,압구정역
23,집밥으로 우주정복 본점,712,678,466,6900,23,8900,9900,9000,9267,32,10080,3000,서울시 강남구 논현동 141-4,31,86,4.7,1,압구정역
24,끓,352,247,251,8500,14,8500,8500,8500,8500,14,4410,2000,서울시 강남구 신사동 567-28,13,41,4.7,1,압구정역
25,카레와 논현점,5165,635,6,10000,11,9000,8000,8500,8500,19,5250,7000,서울시 강남구 논현동 218-10,29,59,4.6,1,압구정역
26,청량리 소고기국밥,294,160,156,8900,16,8900,16900,5900,10567,32,7140,1000,서울시 강남구 논현동 158-10,16,64,4.9,0,압구정역
27,초원배달한정식,5727,1284,1341,12000,18,17900,21700,20200,19933,17,10080,12000,서울시 강남구 논현동 139-33,19,54,4.5,1,압구정역
28,밥도둑 한끼뚝딱 논현점,2777,925,1316,6900,11,8400,7900,8150,8150,13,10080,13000,서울시 강남구 논현동 226,17,41,4.7,1,압구정역
29,밥뚝딱 짜글이&부대찌개,365,268,196,7500,21,9900,11900,9000,10267,30,10080,1000,서울시 강남구 논현동 141-4,30,81,4.6,1,압구정역
30,존스노우냉면 논현점,1059,1268,1128,8000,5,8400,8400,7000,7933,7,10080,7000,서울시 강남구 논현동 147-19,30,42,4.7,1,압구정역
31,논현밀밭&직화구이,8362,3456,3496,12000,18,8000,8000,16000,10667,39,4320,20000,서울시 강남구 논현동 191-171,9,66,4.8,1,선릉역
32,경성밥상,2568,1415,1421,8000,9,8000,8500,9500,8667,7,4620,10000,서울시 강남구 역삼동 835-6,9,25,4.8,1,선릉역
33,김천재의 육회반한연어,932,949,950,7900,10,12000,9900,7900,9933,22,10080,5000,서울시 강남구 논현동 181-8,46,78,4.9,1,선릉역
34,강여사김치찜,1202,1167,1174,12000,18,13900,29500,27500,23633,13,6300,5000,서울시 강남구 역삼동 722-6,11,42,4.9,1,선릉역
35,롱쓰부대찌개 강남점,1079,1009,944,9900,7,14900,16900,18900,16900,13,3990,6000,서울시 강남구 역삼동 668-9,38,58,4.8,1,선릉역
36,엄마밥상,1266,946,974,6900,12,9900,11900,7000,9600,39,10080,7000,강남구 역삼동 735-17,27,78,4.7,1,선릉역
37,이여사한식,3343,1339,1336,10000,7,11000,14000,15000,13333,7,5040,9000,서울시 강남구 역삼동 829-17,2,16,4.9,0,선릉역
38,평방옥&설렁탕,1469,762,545,9000,0,9000,9000,12000,10000,5,10080,10000,서울시 강남구 역삼동 736-32,2,7,4.7,0,선릉역
39,88식당,2592,3598,3648,8800,15,8800,8800,8800,8800,28,10080,21000,서울시 강남구 역삼동 719-24,16,59,4.8,1,선릉역
40,차고집냉면 강남점,701,816,816,8000,22,8000,8000,10000,8667,21,5040,3000,서울시 강남구 역삼동 749-15,33,76,4.9,1,선릉역
41,서울숲쭈꾸미,1649,999,1030,8000,14,9000,9500,9000,9167,14,4320,5000,서울시 서초구 서초동 1321-6,15,43,4.9,1,양재역
42,비돈이제돈이 비빔국수&돈까스,1396,966,665,8000,9,6500,8000,8000,7500,22,9360,7000,강남구 역삼동 721-4,23,54,4.7,1,양재역
43,전라도밥집 순천댁,1839,503,518,12000,1,13000,13000,12000,12667,11,5040,4000,서울시 강남구 역삼동 837-26,7,19,4.8,1,양재역
44,보드람죽,464,736,737,8000,15,7800,10900,10900,9867,15,6300,4000,서울시 서초구 서초동 1321-6,11,41,4.8,1,양재역
